EJIDO;NOMBRE;FAJA;RESPONSABLE;EPSG;UBICACION;NOMBREIDE;ESCPUEBLO;ESCMINI;OBSERVACIONES
1;Realico;4;Jonatan;5346;1-A-3;Realico;7500;70000;
2;A. Van Praet;4;Jonatan;5346;1-A-5;AdolfoVanPraet;3000;25000;
3;Ojeda;4;Sofia;5346;1-A-16;Ojeda;3000;20000;
4;Alta Italia;4;Jonatan;5346;1-A-17;AltaItalia;6000;45000;
5;Embajador Martini;4;Jonatan;5346;1-A-22;EmbajadorMartini;5000;50000;
6;Ingeniero Luiggi;4;Sofia;5346;1-A-21;IngenieroLuiggi;10500;70000;
7;Maisonnave;4;Emanuel;5346;1-A-1;Maisonnave;2000;30000;
8;R. Lavalle;4;;5346;1-A-8;;1;1;
9;Falucho;4;Jonatan;5346;1-A-14;Falucho;4000;40000;
10;Hilario Lagos;4;Emanuel;5346;1-B-1;HilarioLagos;7500;60000;
11;M. Miro;4;;5346;1-B-2;;1;1;
12;Sarah;4;Emanuel;5346;1-B-3;Sarah;14000;100000;
13;Bernardo Larroude;4;Jonatan;5346;1-B-4;BernardoLarroude;12500;80000;
14;Vertiz;4;Jonatan;5346;1-B-21;Vertiz;7500;60000;
15;Intendente Alvear;4;Sofia;5346;1-B-14;IntendenteAlvear;25000;150000;
16;Ceballos;4;Emanuel;5346;1-B-19;Ceballos;7000;40000;
17;Speluzzi;4;Jonatan;5346;1-C-9;Speluzzi;15000;100000;
18;Agustoni;4;Jonatan;5346;1-C-16;Agustoni;10000;60000;
19;Dorila;4;Sofia;5346;1-C-18;Dorila;10000;50000;
20;Trebolares;4;Jonatan;5346;1-C-7;Trebolares;1750;15000;
21;General Pico;4;Sofia;5346;1-C-12;GeneralPico;15000;100000;
22;Arata;4;Sofia;5346;1-D-12;Arata;7500;50000;
23;Metileo;4;Jonatan;5346;1-D-16;Metileo;6000;60000;
24;Monte Nievas;4;Jonatan;5346;1-D-24;MonteNievas;5500;40000;
25;Trenel;4;Sofia;5346;1-D-14;Trenel;10000;75000;
26;Eduardo Castex;4;Sofia;5346;2-A-2;EduardoCastex;10000;75000;
27;Mauricio Mayer;4;Emanuel;5346;2-A-16;MauricioMayer;25000;150000;
28;Winifreda;4;Jonatan;5346;2-A-18;Winifreda;7500;50000;
29;Bouef;4;Emanuel;5346;2-A-1;Bouef;2000;15000;
30;Trili;4;;5346;2-B-3;;1;1;
31;Alfredo Pe�a;4;;5346;2-B-4;;1;1;
32;Relmo;4;Jonatan;5346;2-B-16;Relmo;6000;35000;
33;Colonia San Jose;4;Jonatan;5346;2-B-11;ColoniaSanJose;2000;15000;
34;Quemu Quemu;4;Emanuel;5346;2-B-7;QuemuQuemu;8000;65000;
35;Miguel Cane;4;Jonatan;5346;2-B-14;MiguelCane;5000;30000;
36;Colonia Baron;4;Sofia;5346;2-B-11;ColoniaBaron;7500;50000;
37;Villa Mirasol;4;Jonatan;5346;2-B-10;VillaMirasol;4000;25000;
38;Huelen;4;Jonatan;5346;2-B-13;Huelen;1750;15000;
39;Catrilo;4;Sofia;5346;2-C-5;Catrilo;9000;60000;
40;Ivanowsky;4;;5346;2-C-15;;1;1;
41;Uriburu;4;Jonatan;5346;2-C-10;Uriburu;7500;50000;
42;Lonquimay;4;Sofia;5346;2-C-7 2-C-8;Lonquimay;5000;30000;
43;La Gloria;4;Jonatan;5346;2-C-9;LaGloria;10000;60000;
44;Anguil;4;Emanuel;5346;2-D-6;Anguil;14000;80000;Falta definir el area prevista de la circunscripcion 2
45;Cachirulo;4;Jonatan;5346;2-D-22;Cachirulo;2000;10000;
46;Toay;4;Jonatan;5346;2-D-19 2-D-20;Toay;25000;175000;
47;Santa Rosa;4;Jonatan;5346;2-D-12 2-D-13 2-D-18 2-D-19;SantaRosa;25000;170000;
48;Naico;4;Jonatan;5346;3-A-10;Naico;6000;40000;
49;Doblas;4;Jonatan;5346;3-A-16;Doblas;3000;20000;
50;Quehue;4;Emanuel;5346;3-A-20 9-B-16;Quehue;5000;35000;
51;Ataliva Roca;4;Sofia;5346;3-A-12 3-A-13;AtalivaRoca;7500;50000;
52;Cereales;4;;5346;3-B-1;;1;1;
53;Rolon;4;Emanuel;5346;3-B-16;Rolon;5500;45000;
54;Miguel Riglos;4;Sofia;5346;3-B-3;MiguelRiglos;6000;70000;
55;Tomas M. Anchorena;4;Jonatan;5346;3-B-4;TomasMAnchorena;3000;20000;
56;Hidalgo;4;Jonatan;5346;3-B-17;Hidalgo;1750;10000;
57;Atreuco;4;;5346;3-B-19;;1;1;
58;Macachin;4;Sofia;5346;3-B-18;Macachin;13000;100000;
59;Colonia Santa Teresa;4;Emanuel;5346;3-B-16;ColoniaSantaTeresa;6000;45000;
60;Guatrache;4;Sofia;5346;3-B-24;Guatrache;9000;90000;
61;Remeco;4;;5346;3-B-23;;1;1;
62;Alpachiri;4;Jonatan;5346;3-C-9;Alpachiri;8500;45000;
63;Apuyaco;4;;5346;3-C-8;;1;1;
64;General Campos;4;Jonatan;5346;3-C-7 3-C-14;GeneralCampos;6000;35000;Hay que redefinir el area prevista de la circunscripcion 1
65;Peru;4;Emanuel;5346;3-D-24;Peru;1500;10000;
66;Gamay;4;;5346;3-D-12;;1;1;
67;Colonia Santa Maria;4;Emanuel;5346;3-D-13;ColoniaSantaMaria;3000;25000;
68;Epupel;4;;5346;3-D-18 3-D-19;;1;1;
69;Unanue;4;Emanuel;5346;3-D-19;Unanue;4000;25000;
70;Cotita;4;;5346;4-A-5;;1;1;
71;Hucal;4;Jonatan;5346;4-A-5;Hucal;2000;10000;
72;Jacinto Arauz;4;Sofia;5346;4-B-16 4-B-25;JacintoArauz;7500;50000;
73;Abramo;4;Sofia;5346;4-B-11;Abramo;2500;20000;
74;San Martin;4;Sofia;5346;4-B-14 4-B-17;SanMartin;5000;45000;
75;Bernasconi;4;Sofia;5346;4-B-12;Bernasconi;5000;45000;
76;La Adela;4;Jonatan;5346;5-A-24;LaAdela;8000;150000;
77;Anzoategui;4;;5346;5-B-19 5-B-20;;1;1;
78;Gaviotas;4;;5346;5-B-18;;1;1;
79;Chamaico;3;Jonatan;5345;7-B-1;Chamaico;250;2000;
80;Rancul;3;Jonatan;5345;7-B-4;Rancul;7500;60000;
